pattern	replace_with	group_key	example_name	example_context	tinyIds	tinyid_count	parent_phrase	parent_tinyid_count	definition_count	designation_count	field_profile
How many times in the last year have you	How many times have you	How many times in the last year have you	How many times in the last year have you used a weapon, force or strong arm methods to rob a person, shop, bank, or othe...	[des N] How many times in the last year have you used a weapon, force or strong arm methods to rob a person, shop, bank, or othe...	2FieYJtZJ5 71njK9ihsg 7Ce7qP6_eb 7Jdgotqs2sx 7JtsY5jhil 7V69Z_U0aA 7kPlst9j2jg 7y0e9F5s2jl 7ySxoK5shoe 7ydit5snie 7yilsF9ihsg 7yzgsKcihol EYLFwbSW4 GLNXveepjT N0awFPjQSU NPLb5xYBe P7b7UXAW6I Q1ngst5j3il QJDoK9i2ig QJLxjYqjhix QJsjY9jnsx Qk4jFqsnjl QkG_9t5onjl QkZjYqinjl Qkil5Fci2se QyXit9i2ig QyciYco3ol Qyqx5Y9j3ox TaZr7oflCZ X11WqFcs3ol X1ngcKcsnse XJNxsFconig XJfsY5shsl XkRjFcjnig XkTl5t5jhjl XkWxiFqonsg XqfQA787f XyFeit9s2jg XyUsF9o3ix Xyjt5j3ie XyxgiF5shix Zyxmbm4_C a44jRouKb aN_WCusvq bw4VXHsXEg cD7M6RtAv3 eMcUPI7D7 m1rst9o2jx mJXeot9inol mJlZcFconoe mk1gjY5snol mkTiKqi3ie mk_W5F5snsx mkxjF9snoe mo4MhKaRC my9loFqo3jg nVBU8x4ERk vIPOQ_74e0 wJy38iCsM	59	how many time in the last year have you	22	0	59	desig-only
text field related to the	Text field related to	text field	Hypertension first diagnosed age value	[def] Free-text field related to the age hypertension was first diagnosed	71KxhydcAcX 71irOFpaI 7JBb_xm9A9Q 7yZfmj5paU DY8z0iMBe_ Q1OlnydqRqm QJjpku9Rc7 QkZeyXuqC5Q Qx0YeCMDW QyueU_mxS0z X1_T0wFT68 XJPZ6U7eSCM XJ_aJd905X XQO4y8bMN Xkt6kd5C5X Xkz_oFppI Xy_oSOYT6U dqsIbbck8 jFg6DNBBsP mJfaS_taTI mJlCB_F6pU myE8D_pTI sLuj3lQ_	23	text field relate to the description of	3	23	0	def-only
How many times in the last year did you	How many times did you	How many times in the last year	How many times in the last year did you use a false name or alias so you couldn't be identified [Denver Youth Survey]	[des N] How many times in the last year did you use a false name or alias so you couldn't be identified [Denver Youth Survey]	4d4aoaqRK 9atvmJZ_Y Elr1vi_eUf FGkeK9Oo3 LhxooXhzn WKSvov6_S _dWWbig8bT a4ev6FPSc bADGqBb4st iYtSySkPGy zLxZqGBy41	11	how many time in the last year do you	9	0	11	desig-only
Time (in minutes) taken	Time taken	Time (in	AT Time	[def] Time (in minutes) taken at AT	7Jb6yOFTTU 7ygp1dFaTU Qkl0y_YppL QkxeutapU Xk0yOK6pL m1Ma1ut6aL xSEyWydCu	7	time in minute take	4	7	0	def-only
Text field related to the	Text field related to	Text field	Current exercise type text	[def] Text field related to the type of exercise the individual is currently engaging in	7yfXkcYTTL QkkJ_Yp6L XJ_g1dYaT8 mJe_Ji56p8 mJerJ5YT68 mkgZiupaI	6	text field relate to the	3	6	0	def-only
Indicator of whether	Indicator of	Indicator of whether	Polysomnography end tidal carbon dioxide measured indicator	[def] Indicator of whether end-Tidal CO2 (ETCO2) was measured in the polysomnography being reported	06Q8NPzC8uu 0ErpvbxBDky 0RQwnGTwW 0WXwdRJDjG0 0gt2q5irE 0vrnPMOx9u 0x4tKh_i 1C4Z8JAHEuS 1W1_UAId1 1XyyCh0utzN 1o71k_08C7A 1qqxXmkQ2O9 23hGdGBS75x 2ApTtnfYupX 2JY9zk6k586 2raJpErckRZ 2zPMedG2Czh 36Yzzr0wih 3JoHva4WOx0 3NFCoOX39c7 3b7xhYQCj 3dHnQhAede 3sXQSyobR 4AMXkROskDs 4CRnPAzkEtt 4FZoxAAcK3 4TEoFbsTyv_ 4pjhjr5eGQJ 6Gf2RqSRO1A 6Gqmco0JMX 6R97zNU5RzX 6mrhzMF1AS_ 6q1r4Qc785 6tJN4t4HI2 718SxrN9jSC 71H3fjp6U 71MExdN9orC 71MREV5sH0 71PKZo6TI 71WWjFaTL 71bANVciHA 71eWylQcAqQ 71f7WjYT6I 71l04E5jBC 71ldE9szoE 71qys9TT8 71rkcFpT8 71vesWOqRq7 76vnrQGZC1 7GhzxVo2zK7 7JMVJtKapU 7JYTbOqA97 7JevDmeBAG 7Jlo8tY6p8 7JsyXucA9m 7Jz_UYYap8 7R_s_QCPB_X 7gIs2FcpS9 7k8DQeSRf 7kG8Fbo6TU 7kGh6IsTT8 7kH40kX509m 7kMG3IFa68 7k_q1P_aT8 7kgNldNciS0 7kwQXOc05Q 7kzPGPFTpI 7qjRcb486M4 7y20NN9orC 7y9qdszo4 7yPfPYaT8 7yVHZ_9Rc7 7yW8KWipaL 7yZETIFT6L 7yf1h_ca6I 7yxGHPmlBCM 7yz90KF6TL 89WU802Z7BK 8UrceE5y7_ 8jAcSKYk8G9 94ZE3xKPr54 9Kdd8yOhAbg 9SNVumNbr 9WCZTYCpWqu 9g2REGJBACS 9nBoOemn2fC 9tSgGHchnAu 9vtAg9_1zAU A0FAYSpVWfU AUnYQXV1Sc AWrX3wvVrwt AkWp9Oz7Q2j Ara1dgZFXHZ Aw7xbCRNS05 AxzmnqChS B2xJPNgx6G8 BNO1hdnh530 BXHdSzGLgR BfF3EFEtHT CWMrYWhZAed Dl4TDFP_M DtY_ASf2AkA DwKx7xcQXjJ E9AztPsh1k1 ERJhoAF9rU EYye6DenZ7W EaqUhAqhtS EcwAP4O3Nx9 Ef5sGQBl0 Efa4Tt9sF F3qHkT9QRC FjwYa6mH4Zv GEMpep57QS GMdD134Y6AH GO3BkJpVDqO GSY4vmwkIB Gd0ewnqrLU GtKq8dC0N0 GxmhoDFX20o HAcHkCG0p8 HHySQpowwBK HVNU9N_e7O H_sB7bZXa HcVHft8j Hu98QVfsdGo HyJ_CXfdKrn HyRTOhusMi Ix2y9x7h8 J0WWMWWf6E J2835t8JdFt J8wamJD5Mkx JRVDQEsWzNZ JTtTx8bc Jm6aI_Jjl K2VhX85CUz0 K8cKAdXEjKd KHmtAVGc1Vk KRkFCGytXpf KYkM7UqMYV KvEYCRbSH9 KxE9QM2xcmp LPgEJ0e3ZC LVWcaIy_y Lai1XWEsc Lceu40SGy Lh1QKUQ_rV M3oewJvV_B MA5KgF72jhn MTxnMiS_I Mp_7aGDk Mxz_ma96CVQ MymsArVG_ ND0W55NSgka NOF7AyF7Y62 NOJTJ3QYe N_kMwmDpz OWLc9VwK1d OhjZn0B3k7S Omaz32OEBvV OqZJv6VS1TS Otqtw_WE2B P1kSCK5hsO7 PO8oScOFbst PP_4jfKgUGO PoM4eOgdP Q1M2LFTTI Q1PDXeH0M Q1V6bu505X Q1_LnMsa68 Q1bd5VcirR Q1clUDmgB0M Q1frA4U4EUG Q1lP3fj6aI Q1lUCKF66L Q5S4pY16n QAc2RYh_EMx QJ1xUPXlH0z QJCeKyL5C9m QJE4e_V5sH0 QJGf0JX5AcQ QJGzwFp6U QJK50dT6U QJRa_u5C57 QJWpUFFpp8 QJ_y3_q6TU QJcRN45orC QJjIDXerAz QJs0EEqiHA QJzO5bjTTU QJzeyuFp6L QcZhaWOA0A0 Qk2ibucA57 QkB5_sapU QkKYbi6aI QkQbsKTaI QkVX8VqoHA QkfHMDYTpU Qkgx7wtapU QkoXxOE9irA Qkp6NV5oBC QkqNlOVqsBR Qkr6Wu9CqQ QkuN5ofsV QkueqZ_q0cQ QkxuesFaaI Qr7vAubMsbW QrsMacMe68C QxAw6DgybGO QyEWrwQgrCz QyIibO9Rc7 QybtI_s66U Qyf68KYp68 QynIv7xB0z QypIDQeS0G Qys2ziTaL RKdK8cV3JoJ RNONwmOe1wN RbxrGuGA92t Rfa5JAesa RyHoUR2dPzQ SXRcXwEHjCQ SXxhmq8KKT5 SZlKCQ_Uq ScBK60R8n0y T3sCrDFe_89 T96zENyvNqP TKxEVA4v5x TQ7SEK7CErA TaePEsQJ6 Tq665gsmc TrbUB0WqHg U1TAo2ATMFe U6zq_UcaWcq U779CFMsNUR UAVEByQ2MW9 UHBa0R4F4 URvAsRpGrwr Unx6rOBxsy0 UsZJBrmgWuT VHBZaHO2dAM VZMdRNT3Y VwnOrxcx_o VzHt8HwFG W9pMAp72Ctx WCcB0gAfGRb Wd0m49JhxKk WssDrhnrpTZ WxFMgFt1B WzgrOOWGaCW WzqTFk_dS X1Gi3MsaTL X1MWbiFaTL X1MgoZd9A5m X1UvINciHR X1aeiWdcCcQ X1bEzwY66U X1kMUv7xBAf X1mGvYaa8 X1nxjZdqAcm X1oljWO9R5m X1peLw7xBAz X1twtFapU X1w9_oa6L X1xIPQgB0M X1y_Y1U9C5X XJ0WHwQlHAM XJ0mldV9irR XJCUP7gBRz XJLbUwXlr0G XJMO9C_paL XJ_7Qd9CqQ XJ_dLboaaU XJbdAvYaTU XJnmlOEcorR XJuhfoTa8 XTa5grz9TQG XZuOScHQae8 Xk2EeOE5jH0 XkK2foT6I XkLbHwXlSCf XkSg2_Oq09X XkbOt_iaa8 Xkg_MwtpTU XkiU_o6TI XklN9_o6TU Xkxq8ZsppI Xy9nzoa68 XyM3Wu5R5Q XyMhFZip6I XygP5WjpaL Xygz8vXxSRM XyhjLFaTI XylwIYFppU XyulLv7eHAM XyzuIZip6L YE_OLnYFOD YN78HxuQ1Sw YSZmMmkX_xX YcSf3mdKbSv Ye2Bfp46UeA Ye2fXt63fuT YhEsXGAFxuA YtFypSkBJ0U Z7N2mcwzRbC ZJg5uBTpEd ZSANxwmGWS Zf0HfZChVYX _JB_9rTA74o _KPXOPILDJ _UG1hPqfGZB _gcKUP9TF90 _qb_uo7th _spstxbrVuE _ydY7esqabN aUpZOfGcC_P ahvgyoSv4_h bEUT82KcuDB bG4Yf816Gaw bH2P7qLTjR bQzbEeWEyMe bTEXr2Y_7N1 bmlQpXwVy cTxAQGJvpRz cX8c1VPXUMZ cjQJh62S0Ep cvydH2sSLf d0E3mo9KKQ d2sGxVOpJme d2vfAH0EYUx dEwcXbDq7N0 dSNjMnO1Jz dh7GZUSkGO dj30POw5b1J dnW8e_Hqs e1AjpOXh4hj eFWqzzPTGdp eIriKRUHe ef6SpGPHGdh faEJq9G70j3 fk33MuS3Bdz fo8Bvx6pa fpj1JFd_CT_ fqbTC_zJaFU g12a6Rb14WB gQ77rX7xtZy gTy21HSTPEx gVTmLV7PgU gZe8GPOu4w8 gwRN7dMoced h6RAx0OOmAy hnJVneKRz8 hsde8108vgq hxN0nEh31Df iGMpaa47U iZrK4IsKCq j7EN0VocQfz jDm8cY4HZGP kRhbosDD_X kc7McjgTR3g kljOjl4Nt krZbZZnBvH8 lcYtEKtZDH m1B7lO90cQ m1DlnbOq0q7 m1Ir0LsDwS m1ZrnzjT6U m1a0PtpaI m1bwwXlHCf m1fK2Gj6pU m1mZIvXgr0z m1qMkgQ9AcX m1tx2b_q0cX m1ugNWOc09Q m1vgUvmeSAM mEZgOXl7Zj mJB_HDQeHCG mJGJvsaaU mJMYU_jTa8 mJRUYtpT8 mJ_Wgu9CcQ mJbAjItapL mJbe9Wip6U mJjVeuNcoSR mJooZu9Cqm mJvxWm_9C9Q mJw_UP7eB0f mJxBWO505m mViuD67zA2 mk3hGopT8 mk5JDOTp8 mkBW8wXgHAz mkEWUD7eHRf mkGfrw7gB0f mkMC5AuppL mkNWsKapI mkb_klQcC9m mke3dcapL mkmpb_cR5m mkzOq49oHC mmnaRRnCAyO mwY_GKro0Sz my2MvFpTI myNHlS49jBC myY0vFTTL myYMvrgsecZ myZ_iA_66U my_hd5pT8 mygfZjFa6I myix8P7eS0z mypNguEqoBC myx9ZsaaL nMTqUs0pGhV nbjwMMajCp ntNOteC_yZo o1Q4Y_D94Vw o6kDb1F1v3 o9io2jlviI oDrXsEMksyR oT7dAaYyFXA oa19AMKjyYB okq7Zmae_mZ ooYRb0oGYw4 ouEre0pu7 pv4hEuZq4jG pw2dB11F5qr q76tdUeLf_ qaO09ne7A8h qdZSBiNKGN qdbRZ8ejCHJ qdudSkaMuEC qieRB4328M qs4uM_vw0M6 qyOx9zRPJvF r7t5eJ_haMS rO6FUrGVd6c rhkHRqozqBx s119JZBN6wb sN5EBNQub_c s_5gyIMLx shq200o5c3y siPRXjxv ssjzuTvYOR6 susA8cofFdW tB5y8fwrp_y tE7xfDS6wZ u5nh9jEdweU uKb_VEvxAnO uOAujOQOy u_TfaRIWyo ujUGj9DV5vm uy2npZqSqZm uzoNv8VYe88 vDM0b_10z_Z vbnhoZq9ktw vcOEb0fhXMX viH2eZa3Z vqWukaD4boZ w4smtIzyUu wAJ493fZ4f5 wFnNVKpdz4F wlDTrmook wm4FYtL5O4 wn9Bh3NtuXu wqYXomMtAar wrWOYG__I wrfUGjRu4_m wy7JctaF7X2 x0qO31dFE xQknPgknK xplgRs7dyV xug6J6R8fkf xvLymmS3Tm y0PYSrH6fXU yB2PV6mtccR yCu4Jd5CstS yM1Y1gWAo8A yP7BHgXYCQ0 yQ3a6bKwxgV z9tfOPSFAo1 zSTDR3KvB	480	indicator of whether	80	480	0	def-only
Indicator whether	Whether	Indicator whether	Spectroscopy post process residual water signal remove indicator	[def] Indicator whether residual water signal was removed in post processing	0CUccJYbFCU 1moOZeUSKb6 2dnhHyfPjP1 64nafCqea7U 6MExTaktMEx 6a9NhOAzGBr 6fD6XmfbYq9 7JDZ3dXgrRG 7JFJqsMiV 7JfWnOQlB0f 7kKx2OmeBRz 7yOlLRm9AcQ 84YGhhqP6p6 ABytxpzdPWG CoJuVByB2tr F7o2qFbTQv3 HMBXFH49pxe HPGgqrGq_wd HUJY4uPdzwH HVAPUdumwva JDth3tCRT46 KUAd0sz1rTb MdaTUFSOkpH NwmfR0X24fK O6cKxCdssP7 Q1g_2OmlB0M QJ0cmw47w QJExhdQgH0f QJUxIRXcRqm QJ__3dQgHRz QJadQxHCf Qk4FzZVrBFG Qk5ljWH5CcX Qkx6OXgS0G QnGA0Uqeb3r QyUbnO7lB0z QyZZ3OXgrRf RsaRHeM3Am8 SErqEJ7zjfA TsVaEXP00Bt WVXt3TsA3AJ X1ebDbopTI X1jg2OQxB0M XJgQhzo6p8 Xy7ehumgBRz XyG6d7gBAz XyWpuQlHCz Xyik9szjN YnRz69rO0gv Z6ukfgPc8pU Zq6JOhQtzPs _tT8HhGZ0yj ax41bkkX3c2 b7tJqrqNyPa bt0FaEXMydP cnOb2yfDBmf dEwbAPO6o90 dUuvQ6NDKKU drm_qPWcrX5 dxdZfNfGhvS ecMAjmWXN6O fgDJT6DdsEO fpVnmoBT_0N g2tA6kzHzZA g7NE3R7dsZ6 hyNnmXO1n1K hyPSUuwiL jHnOnaEduD8 jvFP2q8qmCh m1519iMsV m1Ce2OQeHCM m1Xhzsp68 mJKx8RX5CqX mJPlLAXq0qX myX250xnTW8 nab1IwOY6 ntBnBev6kx5 nznTKq4bKCD oSy0wOU0_87 qXQRyM4YWOT rSk_wjkMuuh rvUbFq6aAoA scen3nECN6p wWU_BtuZB1Q xTADJGfb2_6 y0c5SvcWgmY yW7j_R3MSMc z3HaZCkks6A z5EToBRboEC zOrnHKAjaoB	90	indicator whether the	15	90	0	def-only
